"Any","Codi_Districte_baixa","Nom_Districte_baixa","Codi_Barri_baixa","Nom_Barri_baixa","Codi_Districte_alta","Nom_Districte_alta","Codi_Barri_alta","Nom_Barri_alta","Nombre"
2012,1,"Ciutat Vella",1,"el Raval",1,"Ciutat Vella",1,"el Raval",4513
2012,1,"Ciutat Vella",2,"el Barri Gòtic",1,"Ciutat Vella",1,"el Raval",314
2012,1,"Ciutat Vella",3,"la Barceloneta",1,"Ciutat Vella",1,"el Raval",79
2012,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",1,"Ciutat Vella",1,"el Raval",208
2012,2,"Eixample",5,"el Fort Pienc",1,"Ciutat Vella",1,"el Raval",74
2012,2,"Eixample",6,"la Sagrada Família",1,"Ciutat Vella",1,"el Raval",80
2012,2,"Eixample",7,"la Dreta de l'Eixample",1,"Ciutat Vella",1,"el Raval",63
2012,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",1,"Ciutat Vella",1,"el Raval",124
2012,2,"Eixample",9,"la Nova Esquerra de l'Eixample",1,"Ciutat Vella",1,"el Raval",121
2012,2,"Eixample",10,"Sant Antoni",1,"Ciutat Vella",1,"el Raval",276
2012,3,"Sants-Montjuïc",11,"el Poble Sec",1,"Ciutat Vella",1,"el Raval",639
2012,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1,"Ciutat Vella",1,"el Raval",0
2012,3,"Sants-Montjuïc",13,"la Marina de Port",1,"Ciutat Vella",1,"el Raval",54
2012,3,"Sants-Montjuïc",14,"la Font de la Guatlla",1,"Ciutat Vella",1,"el Raval",21
2012,3,"Sants-Montjuïc",15,"Hostafrancs",1,"Ciutat Vella",1,"el Raval",64
2012,3,"Sants-Montjuïc",16,"la Bordeta",1,"Ciutat Vella",1,"el Raval",36
2012,3,"Sants-Montjuïc",17,"Sants - Badal",1,"Ciutat Vella",1,"el Raval",39
2012,3,"Sants-Montjuïc",18,"Sants",1,"Ciutat Vella",1,"el Raval",108
2012,4,"Les Corts",19,"les Corts",1,"Ciutat Vella",1,"el Raval",48
2012,4,"Les Corts",20,"la Maternitat i Sant Ramon",1,"Ciutat Vella",1,"el Raval",7
2012,4,"Les Corts",21,"Pedralbes",1,"Ciutat Vella",1,"el Raval",2
2012,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",1,"Ciutat Vella",1,"el Raval",2
