Distrito,2016,2017,2018,2019,2020
1. Ciutat Vella,"7,9","8,0","7,0","6,5","7,9"
2. L'Eixample,"10,1","10,3","10,1","9,5","12,0"
3. Sants-Montjuïc,"8,9","9,7","9,1","8,3","10,6"
4. Les Corts,"9,3","9,3","9,3","9,5","11,1"
5. Sarrià-Sant Gervasi,"9,4","9,1","9,3","9,2","11,1"
6. Gràcia,"10,0","9,7","9,8","8,4","11,4"
7. Horta-Guinardó,"11,0","10,7","11,1","9,9","14,1"
8. Nou Barris,"9,8","10,5","10,2","9,4","13,1"
9. Sant Andreu,"8,8","9,0","8,6","8,4","11,1"
10. Sant Martí,"8,6","8,8","8,5","8,2","10,2"
