NOM_CAPA,longitude,latitude,EQUIPAMENT,NOM_DISTRICTE,NOM_BARRI
Ferrocarrils Generalitat (FGC),2.135427,41.397791,FGC - BONANOVA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Ferrocarrils Generalitat (FGC),2.139248,41.405731,FGC - EL PUTXET-,Sarrià-Sant Gervasi,el Putxet i el Farró
Ferrocarrils Generalitat (FGC),2.125112,41.39896,FGC - SARRIÀ-,Sarrià-Sant Gervasi,les Tres Torres
Ferrocarrils Generalitat (FGC),2.167015,41.385919,FGC - CATALUNYA (C. de Balmes)-,Eixample,la Dreta de l'Eixample
Ferrocarrils Generalitat (FGC),2.158326,41.392331,FGC - PROVENÇA (C. de Provença)-,Eixample,l'Antiga Esquerra de l'Eixample
Ferrocarrils Generalitat (FGC),2.142754,41.398631,FGC - MUNTANER-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Ferrocarrils Generalitat (FGC),2.130828,41.397781,FGC - LES TRES TORRES-,Sarrià-Sant Gervasi,les Tres Torres
Ferrocarrils Generalitat (FGC),2.147016,41.401372,FGC - SANT GERVASI-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Ferrocarrils Generalitat (FGC),2.137173,41.410227,FGC - AVINGUDA DEL TIBIDABO-,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
Ferrocarrils Generalitat (FGC),2.142617,41.403596,FGC - PADUA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Ferrocarrils Generalitat (FGC),2.135502,41.397638,FGC - BONANOVA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Ferrocarrils Generalitat (FGC),2.151636,41.399679,FGC - GRÀCIA (C. de Marià Cubí)-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Ferrocarrils Generalitat (FGC),2.124523,41.39935,FGC - SARRIÀ-,Sarrià-Sant Gervasi,Sarrià
Ferrocarrils Generalitat (FGC),2.125789,41.398544,FGC - SARRIÀ-,Sarrià-Sant Gervasi,les Tres Torres
Ferrocarrils Generalitat (FGC),2.110914,41.409282,FGC - PEU FUNICULAR-,Sarrià-Sant Gervasi,Sarrià
Ferrocarrils Generalitat (FGC),2.157956,41.392909,FGC - PROVENÇA-,Eixample,l'Antiga Esquerra de l'Eixample
Ferrocarrils Generalitat (FGC),2.147573,41.401403,FGC - PLAÇA MOLINA<center>-,Sarrià-Sant Gervasi,el Putxet i el Farró
Ferrocarrils Generalitat (FGC),2.152507,41.399554,FGC - GRÀCIA-,Gràcia,la Vila de Gràcia
Ferrocarrils Generalitat (FGC),2.169598,41.385842,FGC - CATALUNYA (C. de Pelai)-,Eixample,la Dreta de l'Eixample
Ferrocarrils Generalitat (FGC),2.142852,41.398976,FGC - MUNTANER-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Ferrocarrils Generalitat (FGC),2.135114,41.397895,FGC - BONANOVA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Ferrocarrils Generalitat (FGC),2.118699,41.398423,FGC - REINA ELISENDA-,Sarrià-Sant Gervasi,Sarrià
Ferrocarrils Generalitat (FGC),2.139358,41.368228,FGC - MAGÒRIA-LA CAMPANA-,Sants-Montjuïc,la Bordeta
Ferrocarrils Generalitat (FGC),2.142961,41.40344,FGC - PADUA-,Sarrià-Sant Gervasi,el Putxet i el Farró
Ferrocarrils Generalitat (FGC),2.139529,41.405442,FGC - EL PUTXET-,Sarrià-Sant Gervasi,el Putxet i el Farró
Ferrocarrils Generalitat (FGC),2.148628,41.374547,FGC - ESPANYA-,Sants-Montjuïc,el Poble-sec
Ferrocarrils Generalitat (FGC),2.11937,41.399203,FGC - REINA ELISENDA-,Sarrià-Sant Gervasi,Sarrià
Ferrocarrils Generalitat (FGC),2.152429,41.400039,FGC - GRÀCIA (Pl. de Gal·la Placídia)-,Gràcia,la Vila de Gràcia
Ferrocarrils Generalitat (FGC),2.143251,41.398645,FGC - MUNTANER-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Ferrocarrils Generalitat (FGC),2.167646,41.386095,FGC - CATALUNYA (C. de Bergara)-,Eixample,la Dreta de l'Eixample
Ferrocarrils Generalitat (FGC),2.157649,41.393362,FGC - PROVENÇA (C. del Rossellò)-,Eixample,la Dreta de l'Eixample
Ferrocarrils Generalitat (FGC),2.143265,41.403133,FGC - PADUA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Ferrocarrils Generalitat (FGC),2.131188,41.397617,FGC - LES TRES TORRES-,Sarrià-Sant Gervasi,les Tres Torres
Ferrocarrils Generalitat (FGC),2.09734,41.419668,FGC - BAIXADOR DE VALLVIDRERA-,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
Ferrocarrils Generalitat (FGC),2.091563,41.427474,FGC - LES PLANES-,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
Ferrocarrils Generalitat (FGC),2.168784,41.385795,FGC - CATALUNYA-,Eixample,la Dreta de l'Eixample
Ferrocarrils Generalitat (FGC),2.130075,41.398154,FGC - LES TRES TORRES-,Sarrià-Sant Gervasi,les Tres Torres
Ferrocarrils Generalitat (FGC),2.118998,41.398967,FGC - REINA ELISENDA-,Sarrià-Sant Gervasi,Sarrià
Ferrocarrils Generalitat (FGC),2.139256,41.406043,FGC - EL PUTXET-,Sarrià-Sant Gervasi,el Putxet i el Farró
