NOM_CAPA,longitude,latitude,EQUIPAMENT,NOM_DISTRICTE,NOM_BARRI
RENFE,2.170436,41.388108,RENFE - CATALUNYA-,Eixample,la Dreta de l'Eixample
RENFE,2.181952,41.393385,RENFE - ARC DE TRIOMF-,Eixample,el Fort Pienc
RENFE,2.16875,41.387019,RENFE - CATALUNYA-,Eixample,la Dreta de l'Eixample
RENFE,2.187908,41.409832,RENFE - CLOT-,Sant Martí,el Clot
RENFE,2.189397,41.410259,RENFE - CLOT-,Sant Martí,el Clot
RENFE,2.169312,41.387546,RENFE - CATALUNYA-,Eixample,la Dreta de l'Eixample
RENFE,2.188597,41.409995,RENFE - CLOT-,Sant Martí,el Clot
RENFE,2.185449,41.384232,RENFE - DE FRANÇA-,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
RENFE,2.183101,41.430862,RENFE - SANT ANDREU ARENAL-,Sant Andreu,Sant Andreu
RENFE,2.165256,41.39187,RENFE - PASSEIG DE GRÀCIA-,Eixample,la Dreta de l'Eixample
RENFE,2.193312,41.435959,RENFE - SANT ANDREU COMTAL-,Sant Andreu,Sant Andreu
RENFE,2.18004,41.391817,RENFE - ARC DE TRIOMF-,Eixample,el Fort Pienc
RENFE,2.186507,41.423935,RENFE - LA SAGRERA - MERIDIANA-,Sant Andreu,la Sagrera
RENFE,2.180575,41.391875,RENFE - ARC DE TRIOMF-,Eixample,el Fort Pienc
RENFE,2.140341,41.379074,RENFE - SANTS ESTACIÓ-,Sants-Montjuïc,Sants
RENFE,2.180357,41.46161,RENFE - TORRE BARÓ-,Nou Barris,Torre Baró
RENFE,2.169552,41.388029,RENFE - CATALUNYA-,Eixample,la Dreta de l'Eixample
