name,station_id,latitude,longitude,capacity
"GRAN VIA CORTS CATALANES, 760",1,41.3979779,2.1801069,46
"C/ ROGER DE FLOR, 126",2,41.3954877,2.1771985,29
"C/ NÀPOLS, 82",3,41.3941557,2.1813305,27
"C/ RIBES, 13",4,41.3933173,2.1812483,21
"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",5,41.3911035,2.1801763,39
"PG. LLUIS COMPANYS, 18  (ARC TRIOMF)",6,41.3914292,2.1805685,39
"PG. PUJADES,  1 (JUTJATS)",7,41.388885,2.18329,27
"PG. PUJADES, 2",8,41.389135,2.183489,26
"AV. MARQUÉS DE L'ARGENTERA,13",9,41.384546,2.184922,27
"C/ 60, NÚMERO 25",10,41.3467746,2.1436235,43
"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",11,41.3812425,2.1933482,35
"PG. MARITIM, 23 (HOSPITAL DEL MAR)",12,41.3833653,2.1946255,26
"CARRER DE LA MARINA, 25-33",13,41.3881248,2.1951871,54
"AV. MARQUÉS DE  L'ARGENTERA, 15",14,41.384844,2.185085,27
"C/ DIPUTACIÓ, 272",15,41.39161170092347,2.16890319787512,27
"AV. MERIDIANA, 47 (D)",17,41.3982615,2.1866517,42
"C/ ROSSELLÓ, 453",18,41.4060589,2.1740472,27
"C/ ROSSELLÓ, 354",19,41.4031491,2.1707947,30
"C/ CARTAGENA, 308",20,41.410314,2.1757334,16
"C/ SANT ANTONI MARIA CLARET, 214",21,41.4108439,2.1740575,21
"C/ SARDENYA, 292",22,41.4016969,2.175767,19
"C/ BRUC, 45",23,41.3924661,2.1717397,27
"C/ MARINA, 199",24,41.4005784,2.1788855,30
"C/ BRUC, 102",25,41.3954041,2.1681961,21
"C/ DOS DE MAIG, 230-232",26,41.4071692,2.1820722,18
"C/ PROVENÇA, 322",27,41.3967524,2.1646338,21
"C/ SARDENYA, 362",28,41.4055143,2.1706498,23
"C/ PROVENÇA, 388-390",29,41.401061,2.169941,22
"C/ CASTILLEJOS, 184",30,41.4021805,2.1829894,29
PL. DEL MAR,31,41.3748001,2.1889045,18
LA BARCELONETA (CN BARCELONETA),32,41.3736911,2.1889279999999998,15
C/ PONTEVEDRA / JUDICI,33,41.37686,2.19067,21
"C/ SANT PERE MÉS ALT, 4",34,41.3871079,2.1753364,21
"C/ SANT RAMON DE PENYAFORT, 1",35,41.4134833,2.2206913,43
"AV. DE LA CATEDRAL, 6",36,41.3850616,2.1766834,21
