name,latitude,longitude,type,geometry
Av Icària - Àlaba,41.393104,2.198985,"{'typepoint': {'type': 'Point', 'coordinates': [41.393104, 2.198985]}}",POINT (2.198985 41.393104)
València - Muntaner,41.388546,2.157891,"{'typepoint': {'type': 'Point', 'coordinates': [41.388546, 2.157891]}}",POINT (2.157891 41.388546)
Mallorca - Balmes,41.391021,2.158732,"{'typepoint': {'type': 'Point', 'coordinates': [41.391021, 2.158732]}}",POINT (2.158732 41.391021)
Pl Universitat,41.385907,2.16331,"{'typepoint': {'type': 'Point', 'coordinates': [41.385907, 2.16331]}}",POINT (2.16331 41.385907)
Pl de Carles Buïgas,41.371045,2.150118,"{'typepoint': {'type': 'Point', 'coordinates': [41.371045, 2.150118]}}",POINT (2.150118 41.371045)
Llinars - Santander,41.434755,2.207305,"{'typepoint': {'type': 'Point', 'coordinates': [41.434755, 2.207305]}}",POINT (2.207305 41.434755)
Sas - Claramunt,41.437591,2.204183,"{'typepoint': {'type': 'Point', 'coordinates': [41.437591, 2.204183]}}",POINT (2.204183 41.437591)
Via Favència - Almagro,41.44391,2.172055,"{'typepoint': {'type': 'Point', 'coordinates': [41.44391, 2.172055]}}",POINT (2.172055 41.44391)
Via Favència - Castor,41.44269,2.170198,"{'typepoint': {'type': 'Point', 'coordinates': [41.44269, 2.170198]}}",POINT (2.170198 41.44269)
Les Torres - Mina de la Ciutat,41.446652,2.17161,"{'typepoint': {'type': 'Point', 'coordinates': [41.446652, 2.17161]}}",POINT (2.17161 41.446652)
Antonio Machado - E M de Natació,41.444295,2.170505,"{'typepoint': {'type': 'Point', 'coordinates': [41.444295, 2.170505]}}",POINT (2.170505 41.444295)
Antonio Machado - Artesania,41.444385,2.170821,"{'typepoint': {'type': 'Point', 'coordinates': [41.444385, 2.170821]}}",POINT (2.170821 41.444385)
Palau Reial,41.385593,2.116137,"{'typepoint': {'type': 'Point', 'coordinates': [41.385593, 2.116137]}}",POINT (2.116137 41.385593)
Av República Argentina - Vallcarca,41.411365,2.143973,"{'typepoint': {'type': 'Point', 'coordinates': [41.411365, 2.143973]}}",POINT (2.143973 41.411365)
Ronda Guineueta Vella - Barri Canyelles,41.444325,2.165219,"{'typepoint': {'type': 'Point', 'coordinates': [41.444325, 2.165219]}}",POINT (2.165219 41.444325)
Ronda Guineueta Vella - Escola Deià,41.444835,2.167787,"{'typepoint': {'type': 'Point', 'coordinates': [41.444835, 2.167787]}}",POINT (2.167787 41.444835)
Metro Marina,41.394437,2.187549,"{'typepoint': {'type': 'Point', 'coordinates': [41.394437, 2.187549]}}",POINT (2.187549 41.394437)
Hospital Vall d'Hebron,41.426892,2.142992,"{'typepoint': {'type': 'Point', 'coordinates': [41.426892, 2.142992]}}",POINT (2.142992 41.426892)
Sant Genís dels Agudells - Natzaret,41.429197,2.13805,"{'typepoint': {'type': 'Point', 'coordinates': [41.429197, 2.13805]}}",POINT (2.13805 41.429197)
Sant Genís dels Agudells,41.42943,2.138145,"{'typepoint': {'type': 'Point', 'coordinates': [41.42943, 2.138145]}}",POINT (2.138145 41.42943)
Llull - Àlaba,41.39602,2.19552,"{'typepoint': {'type': 'Point', 'coordinates': [41.39602, 2.19552]}}",POINT (2.19552 41.39602)
Av Icària - Av Bogatell,41.393025,2.199318,"{'typepoint': {'type': 'Point', 'coordinates': [41.393025, 2.199318]}}",POINT (2.199318 41.393025)
Metro Marina,41.394153,2.187545,"{'typepoint': {'type': 'Point', 'coordinates': [41.394153, 2.187545]}}",POINT (2.187545 41.394153)
Marina - Ribes,41.397709,2.182932,"{'typepoint': {'type': 'Point', 'coordinates': [41.397709, 2.182932]}}",POINT (2.182932 41.397709)
Pg de Sant Joan - Alí-Bei,41.392553,2.178787,"{'typepoint': {'type': 'Point', 'coordinates': [41.392553, 2.178787]}}",POINT (2.178787 41.392553)
Diagonal - Doctor Fleming,41.39071,2.136322,"{'typepoint': {'type': 'Point', 'coordinates': [41.39071, 2.136322]}}",POINT (2.136322 41.39071)
Diagonal - L'Illa Diagonal,41.389623,2.13359,"{'typepoint': {'type': 'Point', 'coordinates': [41.389623, 2.13359]}}",POINT (2.13359 41.389623)
Pg  Zona Franca - Foneria,41.359826,2.139079,"{'typepoint': {'type': 'Point', 'coordinates': [41.359826, 2.139079]}}",POINT (2.139079 41.359826)
Pg  Zona Franca - Foc,41.356863,2.141539,"{'typepoint': {'type': 'Point', 'coordinates': [41.356863, 2.141539]}}",POINT (2.141539 41.356863)
Parc Sanitari Pere Virgili,41.416267,2.141929,"{'typepoint': {'type': 'Point', 'coordinates': [41.416267, 2.141929]}}",POINT (2.141929 41.416267)
Palau d'Esports Vall d'Hebron,41.42792,2.144165,"{'typepoint': {'type': 'Point', 'coordinates': [41.42792, 2.144165]}}",POINT (2.144165 41.42792)
Hospital Vall d'Hebron - Natzaret,41.429384,2.138266,"{'typepoint': {'type': 'Point', 'coordinates': [41.429384, 2.138266]}}",POINT (2.138266 41.429384)
Metro Montbau - Hospital Vall d'Hebron,41.430145,2.144497,"{'typepoint': {'type': 'Point', 'coordinates': [41.430145, 2.144497]}}",POINT (2.144497 41.430145)
Comte d'Urgell - Aragó,41.384574,2.155467,"{'typepoint': {'type': 'Point', 'coordinates': [41.384574, 2.155467]}}",POINT (2.155467 41.384574)
Pg de Gràcia - Aragó,41.3918,2.165503,"{'typepoint': {'type': 'Point', 'coordinates': [41.3918, 2.165503]}}",POINT (2.165503 41.3918)
Casanova - Aragó,41.386039,2.158017,"{'typepoint': {'type': 'Point', 'coordinates': [41.386039, 2.158017]}}",POINT (2.158017 41.386039)
Aribau - Aragó,41.387899,2.160079,"{'typepoint': {'type': 'Point', 'coordinates': [41.387899, 2.160079]}}",POINT (2.160079 41.387899)
Entença - Consell de Cent,41.380083,2.150088,"{'typepoint': {'type': 'Point', 'coordinates': [41.380083, 2.150088]}}",POINT (2.150088 41.380083)
Llúria - Aragó,41.393898,2.167925,"{'typepoint': {'type': 'Point', 'coordinates': [41.393898, 2.167925]}}",POINT (2.167925 41.393898)
Independència - Consell de Cent,41.40661,2.18503,"{'typepoint': {'type': 'Point', 'coordinates': [41.40661, 2.18503]}}",POINT (2.18503 41.40661)
Pg de Sant Joan - Aragó,41.397386,2.172391,"{'typepoint': {'type': 'Point', 'coordinates': [41.397386, 2.172391]}}",POINT (2.172391 41.397386)
Josep Tarradellas - Francesc Macià,41.391603,2.143749,"{'typepoint': {'type': 'Point', 'coordinates': [41.391603, 2.143749]}}",POINT (2.143749 41.391603)
Pg Sant Gervasi - Mas Yebra,41.412101,2.13819,"{'typepoint': {'type': 'Point', 'coordinates': [41.412101, 2.13819]}}",POINT (2.13819 41.412101)
