NOM_CAPA,longitude,latitude,EQUIPAMENT,NOM_DISTRICTE,NOM_BARRI
Ferrocarrils Generalitat (FGC),2.135427,41.397791,FGC - BONANOVA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Ferrocarrils Generalitat (FGC),2.139248,41.405731,FGC - EL PUTXET-,Sarrià-Sant Gervasi,el Putxet i el Farró
Metro i línies urbanes FGC,2.111874,41.384249,Zona Universitària (Dr. Marañón / Diagonal)-,Les Corts,la Maternitat i Sant Ramon
Metro i línies urbanes FGC,2.170146,41.385429,Catalunya (La Rambla)-,Ciutat Vella,el Raval
Metro i línies urbanes FGC,2.16013,41.396244,Diagonal (Diagonal / Pau Claris)-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.149637,41.406234,Lesseps (Septimània)-,Sarrià-Sant Gervasi,el Putxet i el Farró
Metro i línies urbanes FGC,2.141301,41.417531,Penitents (Avinguda Vallcarca)-,Gràcia,Vallcarca i els Penitents
Metro i línies urbanes FGC,2.150209,41.388368,Hospital Clínic (Comte d'Urgell)-,Eixample,la Nova Esquerra de l'Eixample
Metro i línies urbanes FGC,2.16747,41.399107,Verdaguer (Bailèn)-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.166742,41.430379,Vilapicina (Cartellà)-,Nou Barris,Vilapicina i la Torre Llobeta
Metro i línies urbanes FGC,2.138586,41.37544,Plaça de Sants (Riego)-,Sants-Montjuïc,Sants
Metro i línies urbanes FGC,2.137183,41.375321,Plaça de Sants (Olzinelles)-,Sants-Montjuïc,Sants
Metro i línies urbanes FGC,2.150072,41.374841,Espanya (Exposició)-,Sants-Montjuïc,el Poble-sec
Metro i línies urbanes FGC,2.158937,41.375177,Poble Sec (Manso)-,Eixample,Sant Antoni
Metro i línies urbanes FGC,2.158979,41.374902,Poble Sec (Teodor Bonaplata)-,Sants-Montjuïc,el Poble-sec
Metro i línies urbanes FGC,2.169533,41.387543,Catalunya (Centre Plaça)-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.195105,41.414871,Bac de Roda (Bac de Roda)-,Sant Martí,Sant Martí de Provençals
Metro i línies urbanes FGC,2.138256,41.361128,METRO (L10S) - Foneria-,Sants-Montjuïc,la Marina de Port
Metro i línies urbanes FGC,2.168879,41.373877,METRO (FM) - Paral·lel-,Sants-Montjuïc,el Poble-sec
