Any,Nom_Districte,Nom_Barri,Euros_Any
2015,Ciutat Vella,el Raval,10896.0
2015,Ciutat Vella,el Barri Gòtic,14456.0
2015,Ciutat Vella,la Barceloneta,14714.0
2015,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",15154.0
2015,Eixample,el Fort Pienc,20817.0
2015,Eixample,la Sagrada Família,21089.0
2015,Eixample,la Dreta de l'Eixample,25759.0
2015,Eixample,l'Antiga Esquerra de l'Eixample,24252.0
2015,Eixample,la Nova Esquerra de l'Eixample,23180.0
2015,Eixample,Sant Antoni,20496.0
2015,Sants-Montjuïc,el Poble Sec,14664.0
2015,Sants-Montjuïc,la Marina del Prat Vermell,11935.0
2015,Sants-Montjuïc,la Marina de Port,16119.0
2015,Sants-Montjuïc,la Font de la Guatlla,18850.0
2015,Sants-Montjuïc,Hostafrancs,18397.0
2015,Sants-Montjuïc,la Bordeta,18514.0
2015,Sants-Montjuïc,Sants - Badal,18297.0
2015,Sants-Montjuïc,Sants,19987.0
2015,Les Corts,les Corts,25740.0
2015,Les Corts,la Maternitat i Sant Ramon,23709.0
2015,Les Corts,Pedralbes,33169.0
2015,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22840.0
2015,Sarrià-Sant Gervasi,Sarrià,28847.0
2015,Sarrià-Sant Gervasi,les Tres Torres,33899.0
2015,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,29681.0
2015,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,31298.0
2015,Sarrià-Sant Gervasi,el Putxet i el Farró,26114.0
2015,Gràcia,Vallcarca i els Penitents,24090.0
2015,Gràcia,el Coll,18934.0
2015,Gràcia,la Salut,22090.0
2015,Gràcia,la Vila de Gràcia,20602.0
2015,Gràcia,el Camp d'en Grassot i Gràcia Nova,23093.0
2015,Horta-Guinardó,el Baix Guinardó,20216.0
2015,Horta-Guinardó,Can Baró,18883.0
2015,Horta-Guinardó,el Guinardó,19816.0
2015,Horta-Guinardó,la Font d'en Fargues,22559.0
2015,Horta-Guinardó,el Carmel,14395.0
2015,Horta-Guinardó,la Teixonera,16003.0
2015,Horta-Guinardó,Sant Genís dels Agudells,17061.0
2015,Horta-Guinardó,Montbau,17628.0
2015,Horta-Guinardó,la Vall d'Hebron,22082.0
2015,Horta-Guinardó,la Clota,18079.0
2015,Horta-Guinardó,Horta,18285.0
2015,Nou Barris,Vilapicina i la Torre Llobeta,18294.0
2015,Nou Barris,Porta,16518.0
2015,Nou Barris,el Turó de la Peira,13602.0
2015,Nou Barris,Can Peguera,12002.0
2015,Nou Barris,la Guineueta,18285.0
2015,Nou Barris,Canyelles,17003.0
2015,Nou Barris,les Roquetes,12593.0
2015,Nou Barris,Verdun,13519.0
2015,Nou Barris,la Prosperitat,15152.0
2015,Nou Barris,la Trinitat Nova,11206.0
2015,Nou Barris,Torre Baró,10912.0
2015,Nou Barris,Ciutat Meridiana,10203.0
2015,Nou Barris,Vallbona,10768.0
2015,Sant Andreu,la Trinitat Vella,11305.0
2015,Sant Andreu,Baró de Viver,11217.0
2015,Sant Andreu,el Bon Pastor,14361.0
2015,Sant Andreu,Sant Andreu,20177.0
2015,Sant Andreu,la Sagrera,18638.0
2015,Sant Andreu,el Congrés i els Indians,18536.0
2015,Sant Andreu,Navas,19020.0
2015,Sant Martí,el Camp de l'Arpa del Clot,19561.0
2015,Sant Martí,el Clot,19157.0
2015,Sant Martí,el Parc i la Llacuna del Poblenou,19663.0
2015,Sant Martí,la Vila Olímpica del Poblenou,30058.0
2015,Sant Martí,el Poblenou,20371.0
2015,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,23274.0
2015,Sant Martí,el Besòs i el Maresme,12474.0
2015,Sant Martí,Provençals del Poblenou,18642.0
2015,Sant Martí,Sant Martí de Provençals,17613.0
2015,Sant Martí,la Verneda i la Pau,16022.0
2016,Ciutat Vella,el Raval,10980.0
2016,Ciutat Vella,el Barri Gòtic,14411.0
2016,Ciutat Vella,la Barceloneta,14618.0
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",15930.0
2016,Eixample,el Fort Pienc,21374.0
2016,Eixample,la Sagrada Família,21396.0
2016,Eixample,la Dreta de l'Eixample,27633.0
2016,Eixample,l'Antiga Esquerra de l'Eixample,25179.0
2016,Eixample,la Nova Esquerra de l'Eixample,23846.0
2016,Eixample,Sant Antoni,21237.0
2016,Sants-Montjuïc,el Poble Sec,14939.0
2016,Sants-Montjuïc,la Marina del Prat Vermell,11811.0
2016,Sants-Montjuïc,la Marina de Port,16379.0
2016,Sants-Montjuïc,la Font de la Guatlla,19034.0
2016,Sants-Montjuïc,Hostafrancs,18533.0
2016,Sants-Montjuïc,la Bordeta,18743.0
2016,Sants-Montjuïc,Sants - Badal,18417.0
2016,Sants-Montjuïc,Sants,20419.0
2016,Les Corts,les Corts,27108.0
2016,Les Corts,la Maternitat i Sant Ramon,24796.0
2016,Les Corts,Pedralbes,35765.0
2016,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",25561.0
2016,Sarrià-Sant Gervasi,Sarrià,30410.0
2016,Sarrià-Sant Gervasi,les Tres Torres,37501.0
2016,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,31631.0
2016,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,33728.0
2016,Sarrià-Sant Gervasi,el Putxet i el Farró,27697.0
2016,Gràcia,Vallcarca i els Penitents,24880.0
2016,Gràcia,el Coll,19149.0
2016,Gràcia,la Salut,22791.0
2016,Gràcia,la Vila de Gràcia,21289.0
2016,Gràcia,el Camp d'en Grassot i Gràcia Nova,23696.0
2016,Horta-Guinardó,el Baix Guinardó,20563.0
2016,Horta-Guinardó,Can Baró,18887.0
2016,Horta-Guinardó,el Guinardó,20242.0
2016,Horta-Guinardó,la Font d'en Fargues,23984.0
2016,Horta-Guinardó,el Carmel,14729.0
2016,Horta-Guinardó,la Teixonera,16831.0
2016,Horta-Guinardó,Sant Genís dels Agudells,16953.0
2016,Horta-Guinardó,Montbau,17624.0
2016,Horta-Guinardó,la Vall d'Hebron,22389.0
2016,Horta-Guinardó,la Clota,19888.0
2016,Horta-Guinardó,Horta,18757.0
2016,Nou Barris,Vilapicina i la Torre Llobeta,18627.0
2016,Nou Barris,Porta,16664.0
2016,Nou Barris,el Turó de la Peira,13824.0
2016,Nou Barris,Can Peguera,12560.0
2016,Nou Barris,la Guineueta,18595.0
2016,Nou Barris,Canyelles,17230.0
2016,Nou Barris,les Roquetes,12759.0
2016,Nou Barris,Verdun,13782.0
2016,Nou Barris,la Prosperitat,15147.0
2016,Nou Barris,la Trinitat Nova,11514.0
2016,Nou Barris,Torre Baró,10849.0
2016,Nou Barris,Ciutat Meridiana,10457.0
2016,Nou Barris,Vallbona,10836.0
2016,Sant Andreu,la Trinitat Vella,11500.0
2016,Sant Andreu,Baró de Viver,11602.0
2016,Sant Andreu,el Bon Pastor,14609.0
2016,Sant Andreu,Sant Andreu,20622.0
2016,Sant Andreu,la Sagrera,19209.0
2016,Sant Andreu,el Congrés i els Indians,18948.0
