Años,1r trimestre,2º trimestre,3º trimestre,4º trimestre
1. Ciutat Vella,-,1.761,1.797,1.947
2. Eixample,-,1.907,2.331,2.448
3. Sants-Montjuïc,-,1.931,1.886,1.867
4. Les Corts,-,2.281,2.522,2.842
5. Sarrià-Sant Gervasi,-,1.826,2.861,2.024
6. Gràcia,-,1.838,2.187,1.884
7. Horta-Guinardó,-,2.809,1.903,2.593
8. Nou Barris,-,2.210,1.705,2.328
9. Sant Andreu,-,2.215,1.889,1.959
10. Sant Martí,-,1.580,1.975,1.692
2002,,,,
BARCELONA,2.262,2.471,2.503,2.754
1. Ciutat Vella,2.102,2.111,2.059,2.411
2. Eixample,2.490,2.281,2.332,3.005
3. Sants-Montjuïc,1.917,2.335,2.377,2.530
4. Les Corts,2.962,2.633,2.830,3.420
5. Sarrià-Sant Gervasi,2.206,2.209,2.373,3.620
6. Gràcia,2.046,1.986,2.188,2.754
7. Horta-Guinardó,2.924,3.389,3.213,2.411
8. Nou Barris,2.322,2.269,2.457,2.136
9. Sant Andreu,2.071,3.181,3.251,2.322
10. Sant Martí,1.835,1.873,1.940,2.568
2003,,,,
BARCELONA,2.846,2.897,3.067,3.195
1. Ciutat Vella,2.679,2.671,2.871,3.081
2. Eixample,3.133,3.126,3.305,3.433
3. Sants-Montjuïc,2.550,2.577,2.734,2.812
4. Les Corts,3.286,3.296,3.560,3.734
5. Sarrià-Sant Gervasi,3.570,3.545,3.738,3.826
6. Gràcia,2.904,2.902,3.114,3.311
7. Horta-Guinardó,2.557,2.524,2.624,2.806
8. Nou Barris,2.202,2.149,2.429,2.579
9. Sant Andreu,2.383,2.584,2.814,2.778
10. Sant Martí,2.647,2.709,2.804,2.979
2004,,,,
BARCELONA,3.341,3.468,3.623,3.780
1. Ciutat Vella,3.035,3.269,3.372,3.492
2. Eixample,3.587,3.764,3.889,4.065
3. Sants-Montjuïc,3.011,3.141,3.224,3.359
4. Les Corts,3.890,3.944,4.014,4.393
5. Sarrià-Sant Gervasi,4.047,4.189,4.341,4.576
6. Gràcia,3.546,3.631,3.643,3.873
7. Horta-Guinardó,2.876,3.039,3.149,3.180
8. Nou Barris,2.557,2.742,2.881,2.945
9. Sant Andreu,2.788,3.014,3.062,3.263
10. Sant Martí,3.178,3.263,3.478,3.703
2005,,,,
BARCELONA,3.961,4.078,4.223,4.354
1. Ciutat Vella,3.745,3.742,3.937,4.150
2. Eixample,4.215,4.355,4.480,4.752
3. Sants-Montjuïc,3.465,3.543,3.707,3.772
4. Les Corts,4.446,4.624,4.750,4.728
5. Sarrià-Sant Gervasi,4.828,5.081,5.141,5.180
6. Gràcia,3.930,4.117,4.272,4.438
7. Horta-Guinardó,3.349,3.386,3.477,3.722
8. Nou Barris,3.098,3.290,3.301,3.318
9. Sant Andreu,3.376,3.354,3.520,3.706
10. Sant Martí,3.807,3.847,4.039,4.095
2006,,,,
BARCELONA,4.543,4.638,4.669,4.709
1. Ciutat Vella,4.433,4.484,4.419,4.563
2. Eixample,4.909,5.006,5.070,5.072
3. Sants-Montjuïc,4.043,4.271,4.326,4.316
4. Les Corts,5.119,5.271,5.294,5.476
5. Sarrià-Sant Gervasi,5.381,5.417,5.454,5.647
6. Gràcia,4.472,4.642,4.740,4.724
7. Horta-Guinardó,3.845,3.985,3.937,4.094
